name,album,artist,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
奏(かなで),夏雲ノイズ,Sukima Switch,328626,64,10,1,0.519,0.553,0.666,0.000169,0.0948,-6.163,0.0262,149.839,4,0.461
"One more time, One more chance",HOME,Masayoshi Yamazaki,330200,50,11,0,0.55,0.719,0.408,0.0,0.11,-8.404,0.0318,129.152,4,0.331
恋音と雨空,AAA DOME TOUR 2018 COLOR A LIFE -SET LIST-,AAA,316400,51,1,1,0.631,0.174,0.857,0.0,0.407,-4.7,0.0314,129.058,4,0.498
I'm a mess,告白,MY FIRST STORY,249480,58,6,0,0.515,0.0148,0.939,0.0,0.312,-4.046,0.0837,130.039,4,0.676
Good Time,The Midsummer Station,Owl City,205933,75,3,1,0.56,0.0239,0.872,6.98e-06,0.371,-4.269,0.14,126.05,4,0.682
たしかなこと,そうかな,Kazumasa Oda,299760,52,7,0,0.582,0.569,0.583,0.0,0.161,-4.859,0.0381,80.044,4,0.542
瞳をとじて,SENTIMENTALovers,Ken Hirai,343240,54,3,1,0.448,0.607,0.596,0.0,0.0895,-4.976,0.0301,141.352,4,0.33
The Beginning,人生×僕=,ONE OK ROCK,292733,57,0,1,0.36,8.83e-05,0.983,0.0,0.111,-2.352,0.101,182.058,4,0.279
別の人の彼女になったよ,群青リフレイン,wacci,304813,58,2,1,0.528,0.0299,0.617,0.0,0.334,-5.07,0.0263,72.023,4,0.497
サクラキミワタシ,サクラキミワタシ,tuki.,202533,61,7,1,0.469,0.766,0.69,0.0,0.154,-3.129,0.0339,179.432,4,0.509
ブルーベリー・ナイツ,hope,Macaroni Empitsu,244869,63,5,1,0.66,0.278,0.865,0.0,0.0931,-3.642,0.0277,106.008,4,0.772
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,173346,81,1,1,0.75,0.00165,0.608,0.0,0.178,-4.008,0.0387,132.507,4,0.958
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,168135,80,6,0,0.853,0.0841,0.822,0.00985,0.166,-6.836,0.246,157.013,4,0.746
Dance With Me,Now & Then,SHE'S,244626,29,1,1,0.69,0.00106,0.792,0.000882,0.344,-4.984,0.0365,124.997,4,0.733
恋するフォーチュンクッキー,次の足跡 Type A <初回限定盤>,AKB48,285186,48,2,1,0.681,0.259,0.936,1.53e-06,0.32,-3.551,0.0471,121.986,4,0.924
